venda_id,jogo_id,preco_pago
99,42,61.37
100,142,37.03
100,346,39.32
100,248,39.26
100,105,36.21
101,55,37.35
102,392,48.59
102,219,14.79
102,306,37.1
103,281,28.89
103,56,31.14
103,156,34.41
103,103,40.38
104,26,9.08
104,460,22.8
104,183,50.55
105,223,55.04
105,207,5.45
106,50,52.32
106,269,45.27
106,366,36.54
107,456,29.54
107,445,56.52
107,157,17.9
107,168,54.89
108,224,22.51
108,263,5.5
109,95,20.78
109,420,27.82
110,314,30.55
110,397,14.16
111,356,16.75
111,160,27.6
112,119,46.99
112,344,27.5
112,311,23.66
113,459,2.92
113,387,6.21
113,475,40.43
114,491,29.71
114,343,18.21
114,31,16.26
115,438,10.45
115,195,33.6
115,491,47.81
116,285,11.9
117,410,5.66
118,252,41.24
119,227,7.0
119,199,5.48
119,379,30.32
120,23,28.71
120,395,46.65
121,246,38.82
122,397,16.94
123,434,23.36
123,24,42.43
123,404,25.64
124,164,23.17
124,244,22.61
124,487,41.31
124,459,4.24
125,62,12.51
126,494,5.47
126,85,56.46
127,398,15.48
127,262,3.58
128,342,51.86
128,6,28.3
128,440,20.92
129,291,35.46
129,38,27.15
129,258,6.72
129,220,46.95
130,411,27.52
130,288,27.49
131,169,25.63
131,463,19.0
131,74,51.39
131,227,7.79
132,417,14.72
133,125,49.41
133,461,15.42
133,456,24.9
133,49,62.66
134,242,46.19
135,365,32.9
135,486,40.98
136,248,50.23
137,390,20.01
138,410,9.06
138,143,21.3
138,475,26.76
138,72,33.54
139,398,18.54
139,391,39.48
140,420,31.23
141,66,40.16
141,442,40.07
141,180,16.58
141,439,26.45
142,388,50.59
143,184,47.3
143,49,32.45
144,88,41.28
144,268,53.36
144,454,30.69
145,478,18.82
145,394,28.59
145,61,7.91
146,11,38.61
147,228,11.99
148,144,20.01
148,194,8.55
149,322,49.75
149,414,12.84
149,413,41.16
150,315,7.81
150,442,36.86
150,42,54.95
150,459,4.5
151,376,6.66
151,347,38.17
151,174,10.94
152,478,23.99
152,106,34.46
152,208,15.21
152,185,50.04
153,105,53.12
153,47,30.81
153,274,32.28
154,406,43.54
154,132,18.54
154,179,20.27
155,135,26.02
155,46,38.39
155,485,14.97
155,193,17.44
156,165,51.97
156,185,44.71
156,470,53.58
156,155,58.62
157,272,44.86
158,181,15.38
158,256,31.06
158,251,34.16
158,418,26.47
159,300,37.93
159,464,45.81
160,286,26.05
161,344,27.7
161,244,26.07
162,493,20.45
162,268,39.83
163,262,4.36
163,151,49.48
163,120,10.69
163,103,55.51
164,394,40.93
164,214,30.66
164,69,16.19
164,460,25.94
165,186,20.29
166,495,19.75
167,333,17.0
167,255,22.1
167,19,32.62
167,170,8.57
168,58,26.03
168,110,52.08
169,131,29.86
169,24,23.78
169,342,38.0
169,378,9.43
170,493,26.78
170,396,16.44
171,434,13.17
172,309,39.24
173,114,15.16
173,428,5.12
173,310,49.78
173,213,4.37
174,424,44.68
174,498,50.5
174,390,11.52
175,152,13.99
175,452,26.85
175,199,5.35
175,231,49.89
176,55,42.78
176,422,51.76
176,150,59.5
177,416,32.2
178,114,23.63
179,393,13.68
179,318,18.92
179,278,34.66
180,212,38.05
180,97,25.48
181,55,36.8
181,51,27.65
182,372,33.24
182,42,42.92
182,85,63.37
182,73,33.32
183,322,36.76
183,228,11.77
183,432,45.29
184,192,30.84
185,175,34.64
185,72,39.08
185,237,30.59
186,436,64.91
187,22,13.16
187,492,43.99
188,411,43.69
189,288,22.76
189,434,16.96
189,372,23.09
189,402,9.12
190,333,15.4
190,167,7.5
190,277,29.27
190,6,20.04
191,398,13.58
191,144,24.35
191,292,15.75
192,35,25.14
193,117,30.94
194,400,62.39
195,301,21.64
196,70,21.42
196,1,23.05
196,418,32.92
196,121,56.32
197,470,38.88
197,407,23.03
197,160,31.3
197,21,25.6
198,7,31.17
198,143,26.86
199,469,15.7
199,26,6.73
199,230,47.92
200,342,46.4
200,108,28.16
200,90,26.1
200,15,47.32
201,463,23.97
201,38,32.22
201,68,29.64
202,168,57.67
202,63,45.9
202,262,3.73
202,38,24.77
203,223,46.15
203,246,45.29
203,172,51.27
203,61,7.12
204,190,13.19
204,135,33.46
204,285,14.99
205,324,38.42
205,72,23.82
206,316,7.74
206,268,53.03
206,132,24.08
206,216,36.39
207,5,33.27
207,113,10.33
207,128,35.32
208,249,10.02
209,283,57.26
209,79,58.28
209,344,26.02
209,1,23.37
210,466,20.49
211,380,48.59
211,356,23.15
212,65,24.35
212,383,57.33
213,416,52.14
213,283,44.75
213,79,50.95
214,482,30.69
214,382,11.79
215,147,46.13
216,235,39.28
216,404,25.25
217,456,22.14
218,230,53.87
218,249,6.34
219,33,23.52
219,117,34.37
219,189,33.73
220,213,6.0
220,181,14.9
220,474,29.68
220,264,24.85
221,17,29.77
221,370,38.76
222,73,26.51
222,166,28.68
222,254,39.61
222,246,24.42
223,103,43.71
224,190,22.21
225,207,4.25
225,16,4.25
225,202,43.87
225,311,22.67
226,33,20.57
226,221,13.6
227,53,39.13
228,486,47.65
228,32,10.5
228,359,16.65
228,495,16.58
229,43,29.4
229,415,28.27
229,467,45.89
230,489,19.24
230,445,55.18
231,214,22.64
231,178,60.43
231,301,24.54
231,390,11.14
232,337,17.9
232,61,4.82
233,148,34.65
233,166,40.28
234,108,34.89
234,43,26.54
235,235,42.41
236,339,52.82
236,192,22.31
236,171,60.7
237,351,46.79
237,154,7.32
237,361,13.45
238,470,58.66
238,484,23.21
238,233,50.69
239,332,51.9
239,188,32.24
240,100,28.52
240,66,32.35
240,282,18.52
240,470,36.07
241,475,23.12
241,442,29.48
242,29,9.61
243,103,42.41
243,262,4.35
243,297,29.67
243,134,31.48
244,476,56.17
244,73,33.21
244,46,26.95
245,207,5.12
245,416,34.28
245,214,33.41
245,55,48.64
246,137,23.3
246,417,12.51
246,231,39.24
246,45,39.29
247,447,26.42
247,111,10.37
247,312,16.37
247,241,60.39
248,9,66.12
248,5,22.35
249,236,42.14
250,306,33.32
250,439,32.9
250,186,30.77
251,114,14.44
252,362,30.44
253,98,20.27
253,190,21.36
253,25,36.45
253,103,41.76
254,364,15.49
254,87,15.02
254,412,10.7
254,477,58.0
255,478,17.34
256,407,24.17
257,9,54.12
257,481,44.5
258,451,20.26
258,493,30.52
258,305,30.06
258,488,39.35
259,293,19.9
259,6,21.16
259,350,29.32
260,200,49.36
260,120,14.04
260,66,35.42
261,304,11.72
261,482,30.26
261,494,5.79
261,204,26.18
262,300,43.42
262,272,57.52
262,11,35.67
262,275,36.59
263,375,26.48
263,223,39.18
264,396,24.78
264,65,27.48
264,36,22.65
265,423,34.04
265,443,39.0
266,307,56.77
266,187,45.56
266,477,43.11
266,369,13.58
267,205,22.08
267,310,50.25
268,477,36.89
268,337,14.63
269,75,17.35
269,170,6.73
269,104,51.92
270,490,40.43
270,221,20.63
270,53,52.03
271,198,28.29
271,84,6.45
271,492,31.29
272,212,35.61
273,230,46.81
273,229,44.12
274,405,17.46
274,220,24.72
274,346,57.84
274,424,61.98
275,153,9.04
275,486,55.3
276,419,32.75
276,468,6.35
276,414,7.49
277,19,46.72
277,220,25.91
278,175,42.09
279,38,32.07
279,261,30.17
280,425,22.26
280,436,42.45
280,378,13.21
281,237,26.11
281,297,21.89
282,201,23.71
282,291,46.88
282,131,29.36
283,172,42.15
284,84,5.05
284,311,20.73
284,467,55.12
284,414,12.14
285,401,64.33
285,126,7.91
285,147,25.79
285,115,5.5
286,221,20.75
286,21,18.93
286,115,8.77
286,399,15.18
287,479,23.05
288,88,42.07
289,209,31.36
289,242,45.24
289,255,18.51
290,33,21.53
290,495,20.87
290,23,22.71
290,135,26.47
291,172,34.07
291,89,37.4
291,124,38.82
292,52,32.24
292,53,38.3
293,358,5.5
294,172,39.87
294,67,19.68
294,376,8.11
294,14,15.94
295,165,59.24
295,195,52.84
296,470,52.37
296,1,29.02
296,126,5.34
297,206,11.09
298,77,28.3
298,106,19.71
298,190,13.34
298,94,13.5
299,207,3.75
300,323,27.74
301,106,34.16
301,176,19.82
301,481,52.31
301,138,21.96
302,229,46.71
302,419,31.28
303,248,32.41
304,437,12.4
304,309,38.29
304,23,44.66
304,432,37.41
305,463,21.79
305,129,7.35
305,199,4.77
306,223,68.51
306,435,30.95
306,322,54.43
307,380,47.8
307,7,42.13
307,279,12.07
307,477,53.06
308,395,41.44
308,99,33.02
309,289,18.64
309,156,39.07
309,146,47.33
310,358,4.22
310,202,47.48
310,101,24.28
311,119,44.82
312,62,9.39
313,321,13.44
313,236,41.39
313,109,13.74
314,284,65.96
314,370,38.15
315,133,16.98
315,91,26.76
316,343,17.03
317,315,10.05
318,202,46.41
318,262,3.98
318,445,60.06
319,114,20.31
319,239,38.03
320,435,26.75
321,222,12.2
321,184,34.95
321,483,13.72
322,147,45.62
322,499,22.97
322,80,2.98
322,437,11.62
323,302,15.44
324,73,26.17
324,32,9.94
324,2,8.54
325,81,6.84
326,361,24.38
326,333,19.82
326,10,4.67
327,447,31.75
327,9,44.4
327,170,8.38
327,140,7.67
328,183,43.14
328,193,17.9
328,410,5.08
328,293,16.01
329,169,24.17
329,12,9.07
329,139,35.7
329,402,11.9
330,3,20.3
330,312,15.61
330,94,9.32
330,450,30.75
331,325,44.13
331,34,32.63
332,205,21.79
332,10,4.57
332,52,30.68
332,70,19.64
333,184,50.74
333,453,40.24
333,306,24.42
334,355,24.71
334,156,33.86
334,382,13.88
335,299,45.91
335,231,52.61
336,370,34.26
336,320,6.46
336,155,43.34
336,50,42.72
337,213,5.09
338,37,11.99
339,406,37.72
339,299,43.18
340,228,10.41
341,243,9.79
341,140,5.64
342,291,45.98
342,349,16.52
343,252,49.6
343,188,40.96
343,341,23.98
344,225,43.5
344,376,8.7
344,127,48.5
345,354,11.38
345,246,25.91
346,182,21.38
346,433,38.7
346,500,37.06
347,222,13.79
347,136,9.5
347,5,21.67
347,474,36.38
348,55,45.69
348,486,44.89
349,154,6.2
349,476,60.33
350,66,35.57
350,292,16.87
351,437,7.95
351,423,40.97
351,21,23.04
351,147,39.7
352,229,44.28
352,383,34.37
352,146,28.41
352,461,12.68
353,435,22.28
353,466,24.97
353,198,20.21
354,238,31.91
354,272,51.5
355,415,26.91
355,131,24.09
355,82,41.25
355,95,21.57
356,178,63.23
356,303,27.52
357,87,15.83
357,30,46.31
357,114,12.9
357,250,59.57
358,282,13.1
359,272,36.04
360,487,32.74
361,496,49.71
362,196,24.49
362,292,10.27
362,495,17.22
362,109,12.15
363,190,16.79
363,390,11.63
363,188,24.58
364,368,30.91
364,57,33.11
364,95,15.99
365,302,14.26
365,360,43.35
366,125,44.24
367,94,11.58
368,418,32.57
369,106,19.32
369,495,20.19
369,148,53.63
369,244,15.02
370,189,18.76
370,246,23.81
371,15,40.37
371,144,20.2
371,74,32.14
372,137,23.44
372,305,46.44
372,161,45.39
372,345,34.78
373,407,26.86
373,21,20.07
374,473,6.31
374,471,9.8
374,344,25.94
374,373,39.77
375,7,41.82
376,432,35.74
376,462,30.52
377,258,5.07
377,15,51.55
377,217,8.73
378,114,22.29
379,151,37.69
380,158,46.0
380,397,11.23
380,354,9.34
380,139,23.04
381,60,23.13
381,179,17.97
382,373,45.2
382,402,16.09
383,57,32.42
383,221,13.59
383,175,31.53
383,430,29.27
384,74,38.96
384,33,19.08
384,289,23.16
384,266,7.1
385,439,32.19
386,152,9.48
386,358,4.11
387,384,33.54
387,362,51.37
387,18,22.96
387,440,23.91
388,354,9.38
388,50,38.72
389,196,24.79
389,217,10.12
389,132,17.99
389,151,47.36
390,212,48.37
390,128,44.55
390,256,27.57
391,59,30.86
391,193,12.62
391,334,43.49
392,389,54.11
392,425,18.5
392,290,24.56
392,326,43.29
393,118,34.3
393,281,27.54
394,469,8.42
394,187,29.47
395,388,38.21
395,174,15.22
395,461,14.06
396,237,26.98
396,336,35.45
396,377,6.97
396,75,16.36
397,313,34.62
398,307,52.66
398,326,52.92
398,352,10.87
398,405,18.91
399,367,67.8
399,185,29.24
399,435,23.94
399,239,25.38
400,375,24.13
400,274,22.3
400,15,59.8
400,155,50.3
401,389,34.48
401,199,4.26
401,45,34.41
402,123,4.21
402,376,9.23
402,348,36.96
402,490,42.84
403,17,37.9
403,108,19.12
403,212,33.48
404,371,13.72
404,195,38.83
404,42,59.67
405,197,11.47
406,219,22.92
406,56,54.48
406,388,43.75
407,389,32.34
407,469,8.77
408,496,48.97
409,313,22.33
409,156,40.29
409,170,8.75
410,155,55.69
410,433,46.92
410,414,10.16
411,455,20.17
412,165,49.59
412,325,46.11
412,379,54.67
412,461,11.6
413,475,39.88
414,420,32.29
414,200,55.79
414,168,49.32
414,321,8.15
415,100,37.81
415,42,53.49
416,27,6.1
416,195,50.1
416,492,36.36
416,226,41.16
417,229,44.22
417,247,53.02
417,239,41.46
418,385,19.87
419,172,36.62
420,223,37.47
421,83,7.34
421,496,46.22
422,189,24.72
422,145,43.11
422,168,56.52
422,330,27.26
423,242,32.25
423,469,11.98
423,432,50.44
424,285,14.02
424,288,27.89
425,282,19.23
425,394,42.35
426,226,59.52
426,193,9.96
426,397,11.95
427,76,58.33
428,20,17.35
428,362,44.82
429,370,42.43
429,312,18.05
430,498,34.4
430,468,7.97
430,461,14.48
430,119,48.46
431,418,44.65
432,479,25.27
432,11,28.89
432,147,30.94
432,297,24.27
433,366,30.5
434,72,36.05
435,265,4.55
435,74,54.73
435,232,24.71
436,360,27.35
436,297,34.36
436,91,42.58
437,39,45.46
437,362,56.75
437,361,13.21
437,300,36.1
438,394,43.08
438,433,25.48
438,312,15.5
438,133,18.99
439,471,8.79
439,341,17.72
440,259,4.39
440,360,43.68
440,390,12.8
440,287,44.3
441,450,30.96
441,204,15.99
441,447,34.84
441,476,59.03
442,300,39.28
442,425,20.5
443,422,38.72
443,79,57.59
443,103,42.07
443,30,41.74
444,340,28.03
444,46,44.71
444,328,7.92
445,451,21.36
445,39,44.78
445,114,13.65
446,218,18.81
447,234,16.17
447,324,36.26
447,429,49.44
448,355,31.14
448,376,5.72
449,100,36.96
449,68,47.71
450,185,38.48
451,485,13.59
451,199,3.74
451,245,15.22
451,467,60.8
452,111,11.51
452,342,33.58
452,281,34.3
453,405,33.43
453,313,39.85
453,319,32.28
454,251,51.35
454,409,20.16
454,465,47.89
455,244,16.68
455,326,34.65
456,365,33.28
456,472,26.77
456,63,61.4
456,370,33.6
457,218,20.02
457,185,31.94
457,177,39.29
457,81,3.95
458,310,36.76
458,124,35.85
458,46,50.62
458,346,45.36
459,17,41.48
460,273,27.08
460,181,11.92
460,65,26.57
461,227,4.64
461,65,23.11
461,198,31.49
461,415,22.74
462,320,3.77
463,14,17.94
463,187,43.34
463,273,23.09
464,444,40.75
464,406,37.93
465,146,27.06
466,366,29.79
466,100,39.94
466,267,35.43
466,24,38.16
467,39,39.04
468,12,5.67
468,442,26.94
468,28,21.4
469,358,4.02
470,262,3.05
470,458,4.54
471,231,51.36
471,364,21.23
472,435,30.88
472,78,42.96
472,206,12.63
473,179,24.68
473,444,45.55
473,200,43.17
473,19,52.96
474,102,60.17
474,356,20.61
475,356,20.97
476,45,43.64
476,203,37.22
476,339,44.57
476,23,43.61
477,149,42.99
478,450,25.42
478,418,37.59
478,85,57.5
478,240,48.35
479,400,57.76
480,486,48.2
480,12,6.28
480,418,32.4
480,193,10.55
481,211,31.89
482,318,17.54
482,322,52.27
482,324,57.7
483,322,41.75
483,370,40.1
483,93,43.04
484,241,53.53
484,54,4.66
484,151,45.18
485,244,23.02
486,103,38.15
486,108,32.37
487,62,9.51
487,439,30.12
488,111,12.31
488,4,53.64
488,227,5.29
489,317,35.75
490,63,60.02
490,378,9.08
490,52,45.87
490,254,43.81
491,22,20.68
491,392,59.19
491,140,5.53
492,101,14.58
492,467,56.65
492,435,20.74
493,56,46.48
493,229,34.57
494,246,40.95
494,402,11.3
495,2,6.75
495,219,21.39
496,85,46.87
496,377,5.96
497,355,36.04
497,91,46.4
497,191,15.67
497,132,14.45
498,32,14.12
498,94,11.73
499,209,21.87
500,135,38.41
500,162,12.89
500,354,11.28
501,186,28.13
502,129,7.43
503,104,29.82
503,120,12.94
504,278,59.98
504,204,25.57
504,497,47.27
505,270,20.44
506,243,6.08
507,171,54.86
507,137,16.4
507,369,17.26
507,371,11.89
508,158,67.96
508,134,37.5
508,452,23.6
508,249,10.39
509,286,40.82
510,262,3.97
510,204,21.5
511,149,50.05
511,413,24.95
511,142,31.44
511,332,49.35
512,93,47.48
512,23,26.24
512,289,14.64
513,31,20.77
513,72,28.91
513,342,45.73
513,142,21.22
514,103,33.69
515,115,9.0
516,365,36.38
516,102,43.1
516,444,41.61
517,358,6.86
517,71,17.49
517,318,19.14
517,53,58.48
518,388,34.82
518,223,40.78
518,82,61.34
518,487,61.98
519,464,48.29
520,31,22.39
520,188,24.6
520,65,30.92
520,38,25.94
521,217,13.72
521,111,9.33
522,120,11.12
522,483,8.81
522,341,29.38
522,203,56.73
523,43,28.19
523,257,44.7
523,246,25.94
523,12,6.63
524,126,8.12
524,43,15.82
524,22,21.04
525,275,27.56
526,457,42.0
526,20,15.19
527,259,5.37
527,220,37.78
527,450,18.1
528,22,14.25
529,423,36.06
529,314,29.15
530,351,29.62
531,121,67.15
532,228,8.06
532,453,31.9
532,374,10.15
533,329,21.76
533,13,10.14
534,297,25.83
535,214,24.13
535,154,11.0
535,165,41.53
535,279,19.68
536,190,24.89
536,32,15.22
537,436,57.31
537,247,31.46
537,80,3.76
538,284,54.88
538,464,66.97
539,327,27.85
539,19,36.23
539,26,9.27
539,255,26.68
540,43,15.66
540,448,34.05
540,92,25.71
540,222,14.47
541,384,42.82
541,119,49.57
542,55,33.28
542,117,35.23
543,280,21.3
543,265,6.39
543,498,31.95
544,457,25.79
544,210,26.51
544,95,18.7
545,436,44.05
545,157,19.72
546,84,4.43
547,322,59.79
547,402,16.19
547,223,64.43
548,441,39.37
548,385,14.26
549,94,17.14
549,475,39.72
549,409,16.39
549,205,17.06
550,272,35.39
551,177,21.17
551,393,9.45
551,231,33.88
552,357,54.14
553,83,4.75
553,231,49.44
554,304,8.56
554,303,23.0
554,440,24.42
554,485,10.93
555,30,41.99
555,62,11.63
556,428,4.53
556,393,8.73
557,304,9.43
557,275,25.7
557,208,9.82
558,155,47.81
559,468,7.62
559,437,14.61
559,320,4.74
559,414,7.96
560,260,31.09
560,479,32.67
561,249,10.16
562,437,11.84
562,223,52.27
563,409,21.53
563,199,5.18
563,403,25.02
564,225,59.41
564,323,26.77
564,222,9.56
565,113,11.17
565,304,10.32
565,320,3.39
566,107,20.49
566,143,29.59
566,162,12.29
566,202,43.83
567,148,38.38
567,17,44.22
567,189,29.05
567,71,20.91
568,235,37.41
569,106,22.44
569,359,17.15
569,207,5.13
569,19,54.51
570,36,13.39
570,447,32.74
570,198,28.69
570,115,9.19
571,110,36.26
572,295,37.45
572,133,15.06
573,416,59.86
574,494,5.84
575,309,23.31
575,363,28.8
576,167,8.08
576,75,14.61
576,68,37.21
576,125,43.45
577,122,56.29
577,49,63.0
577,271,51.75
577,206,10.46
578,344,25.16
579,474,37.73
579,352,12.06
579,111,6.75
580,325,32.88
580,165,52.8
581,440,21.58
582,24,27.34
582,157,23.32
582,446,44.52
582,267,35.01
583,168,41.63
584,315,9.69
584,448,49.71
584,122,57.73
584,432,40.35
585,371,14.84
586,118,36.11
587,145,59.1
587,472,31.34
588,112,19.74
588,471,8.17
588,176,13.65
589,140,5.56
589,164,45.64
589,433,31.1
590,83,8.8
591,387,5.96
592,111,12.54
593,267,33.56
593,413,28.73
593,407,29.01
594,483,12.94
594,325,39.54
595,298,38.74
595,465,42.68
595,239,36.87
596,28,40.31
596,408,32.27
597,157,14.45
597,18,25.93
597,308,37.26
598,210,31.42
599,431,7.99
599,43,23.94
599,194,9.24
600,480,23.41
601,421,4.09
602,240,32.68
602,439,22.64
602,9,41.43
603,150,50.07
604,497,42.0
604,241,31.49
604,123,3.14
604,185,51.88
605,365,28.14
605,288,29.08
606,430,30.4
606,453,38.61
606,493,24.85
606,33,23.8
607,74,37.05
607,389,40.25
608,347,45.52
608,248,37.94
608,423,26.92
609,66,39.25
609,468,5.85
610,452,43.09
610,209,29.86
610,377,7.56
611,385,13.29
611,135,26.36
611,499,39.6
612,160,37.4
612,20,27.67
612,228,8.48
612,370,30.09
613,77,32.57
613,128,45.79
613,194,15.23
614,203,48.63
614,236,32.74
614,304,15.74
615,219,13.74
615,246,33.06
616,408,41.46
616,211,31.94
616,404,23.55
617,14,23.94
617,187,24.57
617,200,46.47
617,57,41.74
618,56,32.82
618,373,23.34
619,489,22.22
619,383,34.54
620,7,34.27
620,228,9.54
620,276,46.57
621,423,27.35
621,248,35.54
621,496,40.75
622,170,6.09
622,162,17.17
622,109,13.37
623,357,51.24
623,254,48.54
624,409,12.21
624,463,15.21
624,240,47.48
625,59,36.11
625,416,50.97
626,308,26.54
627,466,15.69
628,121,50.45
628,255,28.38
628,158,35.23
628,154,7.86
629,91,43.33
629,382,11.75
630,378,11.32
630,447,24.01
631,251,58.16
632,427,21.03
632,116,22.88
633,448,57.25
633,373,32.39
634,250,35.33
634,266,9.96
634,402,14.38
634,10,4.75
635,328,4.05
636,235,60.55
636,11,28.62
636,245,13.14
636,459,2.99
637,344,15.38
637,49,34.66
638,331,35.36
638,275,30.18
639,379,55.37
639,116,26.99
639,51,34.09
639,417,17.25
640,386,6.71
640,26,8.21
640,149,29.18
640,240,34.36
641,457,40.34
641,138,19.06
641,294,7.61
641,452,39.71
642,408,25.13
642,140,8.58
642,268,56.04
642,198,32.17
643,499,38.64
643,261,42.82
643,440,18.27
643,33,15.34
644,413,35.56
644,357,43.1
645,491,43.16
646,465,32.3
646,99,29.3
646,361,19.04
647,23,29.78
647,8,16.28
647,294,10.54
647,56,42.0
648,138,22.71
648,296,24.13
648,115,7.12
648,217,12.74
649,96,7.33
649,336,34.84
649,340,27.34
649,248,59.73
650,1,19.71
650,444,53.9
650,79,45.21
651,416,43.37
651,76,45.06
651,71,22.05
651,134,22.86
652,268,52.22
652,398,15.95
652,250,49.86
652,238,37.86
653,454,20.99
653,375,30.44
654,480,21.41
654,356,16.68
654,65,24.6
655,18,39.39
655,268,38.84
656,216,32.34
656,57,54.55
656,344,24.31
657,20,15.75
657,187,25.03
657,86,27.98
657,126,6.72
658,374,14.09
658,32,12.77
659,406,47.32
660,58,24.09
661,322,57.66
661,97,18.73
661,448,59.95
661,260,19.79
662,290,19.04
662,19,55.87
663,444,39.23
663,14,23.35
664,416,37.22
664,253,22.05
665,300,32.88
665,29,11.16
665,262,5.06
666,110,33.93
666,82,55.56
666,186,31.16
666,168,51.29
667,131,35.4
667,241,57.92
667,452,27.86
668,234,21.31
668,379,57.89
669,119,38.36
669,44,35.55
670,51,43.44
670,442,26.33
671,474,28.73
671,49,35.99
671,363,32.28
672,339,40.6
673,175,51.97
674,453,42.83
674,312,20.32
675,278,35.57
675,334,38.02
676,226,56.33
677,495,22.72
677,24,27.87
677,13,8.98
677,328,5.19
678,316,6.47
678,353,3.54
679,272,49.8
679,147,33.02
679,353,3.7
679,370,39.18
680,179,19.45
680,191,14.9
680,435,19.42
681,182,27.99
681,81,6.8
681,34,21.92
681,425,21.05
682,366,27.9
682,53,35.49
682,323,34.03
682,98,20.76
683,103,48.4
683,155,54.53
683,347,41.24
683,29,10.9
684,484,32.09
684,50,50.79
684,173,24.06
685,233,52.06
685,373,34.36
685,409,17.1
685,133,14.68
686,126,8.0
687,309,43.33
687,1,32.96
687,494,5.29
688,471,10.15
689,372,23.54
689,209,19.26
689,36,18.39
689,214,20.95
690,3,26.06
690,359,18.39
690,17,23.83
690,191,19.2
691,150,50.95
692,263,4.34
693,97,19.6
693,71,22.49
694,10,5.45
694,200,38.73
694,122,39.08
694,271,45.36
695,363,29.44
696,5,21.9
697,127,25.94
698,128,32.77
699,228,12.0
699,484,26.81
700,388,42.07
